Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
1,2025-12-12 10:23:52,1.1.1.1,GigabitEthernet0/0,2.29,5.325,3.0352,3.0352,129,126,3,2.3255813953488373,7.422055516924177,4.197597503662109,13.254165649414062,2.0,9.0,1.382,7.252,9.47,10.831
2,2025-12-12 10:24:15,1.1.1.1,GigabitEthernet0/0,2.273,6.323,4.0495,4.0495,133,129,4,3.007518796992481,7.015633028607036,3.635883331298828,15.040397644042969,3.0,14.0,1.566,6.728,9.212,11.281
3,2025-12-12 10:24:40,1.1.1.1,GigabitEthernet0/0,2.243,5.279,3.0362,3.0362,126,123,3,2.380952380952381,7.532329094119188,4.613399505615234,28.331756591796875,7.0,9.0,3.162,6.819,10.043,18.677
4,2025-12-12 10:25:04,1.1.1.1,GigabitEthernet0/0,2.252,6.302,4.0493,4.0493,134,130,4,2.9850746268656714,6.713540737445538,4.285573959350586,11.555194854736328,1.0,11.0,1.28,6.54,8.896,9.775
5,2025-12-12 10:25:28,1.1.1.1,GigabitEthernet0/0,2.24,5.277,3.0364,3.0364,127,124,3,2.3622047244094486,7.383079298080936,4.762172698974609,21.907567977905273,1.0,10.0,2.072,7.024,8.832,15.175
6,2025-12-12 10:25:52,1.1.1.1,GigabitEthernet0/0,2.251,5.288,3.0369,3.0369,131,128,3,2.2900763358778624,6.915491074323654,3.2949447631835938,12.288808822631836,2.0,14.0,1.506,6.775,9.34,10.808
7,2025-12-12 10:26:16,1.1.1.1,GigabitEthernet0/0,2.262,6.311,4.0489,4.0489,134,130,4,2.9850746268656714,6.705727944007287,4.224538803100586,11.384248733520508,2.0,10.0,1.315,6.498,9.156,9.938
8,2025-12-12 10:26:40,1.1.1.1,GigabitEthernet0/0,2.339,5.375,3.0355,3.0355,129,126,3,2.3255813953488373,7.826214744931176,4.195213317871094,19.293785095214844,3.0,14.0,1.883,7.532,10.557,11.492
9,2025-12-12 10:27:04,1.1.1.1,GigabitEthernet0/0,2.247,5.284,3.0366,3.0366,127,124,3,2.3622047244094486,7.503828694743495,4.118680953979492,15.717744827270508,1.0,13.0,1.774,7.192,10.47,12.609
10,2025-12-12 10:27:28,1.1.1.1,GigabitEthernet0/0,2.295,6.36,4.0644,4.0644,125,121,4,3.2,8.206836448228064,4.566431045532227,30.658960342407227,3.0,17.0,4.712,6.761,20.044,28.998
11,2025-12-12 10:27:53,1.1.1.1,GigabitEthernet0/0,2.792,4.816,2.0246,2.0246,129,127,2,1.550387596899225,7.551334035678173,0,23.977041244506836,2.0,10.0,3.015,6.995,11.376,21.399
12,2025-12-12 10:28:17,1.1.1.1,GigabitEthernet0/0,2.316,5.352,3.0361,3.0361,130,127,3,2.307692307692308,7.589313927597887,4.022121429443359,17.676353454589844,2.0,19.0,2.568,6.85,11.824,16.423
13,2025-12-12 10:28:41,1.1.1.1,GigabitEthernet0/0,2.235,5.272,3.0374,3.0374,127,124,3,2.3622047244094486,7.385405801957654,4.502296447753906,30.047893524169922,2.0,12.0,3.464,6.68,11.361,22.322
14,2025-12-12 10:29:04,1.1.1.1,GigabitEthernet0/0,2.257,5.293,3.0368,3.0368,120,117,3,2.5,8.39534783974672,3.9520263671875,26.407480239868164,5.0,13.0,3.885,7.449,18.945,22.504
15,2025-12-12 10:29:28,1.1.1.1,GigabitEthernet0/0,2.233,6.282,4.0495,4.0495,123,119,4,3.2520325203252036,8.171935041411585,3.7987232208251953,23.181915283203125,2.0,10.0,3.205,7.558,12.12,22.212
16,2025-12-12 10:29:52,1.1.1.1,GigabitEthernet0/0,2.298,5.334,3.036,3.036,134,131,3,2.2388059701492535,6.815795680038802,4.320621490478516,12.21609115600586,2.0,14.0,1.445,6.593,9.308,10.835
17,2025-12-12 10:30:16,1.1.1.1,GigabitEthernet0/0,2.275,6.323,4.0478,4.0478,132,128,4,3.0303030303030303,7.133025676012039,4.212856292724609,17.405986785888672,1.0,16.0,1.638,6.775,9.81,10.512
18,2025-12-12 10:30:41,1.1.1.1,GigabitEthernet0/0,2.32,5.356,3.0362,3.0362,129,126,3,2.3255813953488373,7.774487374320863,4.450798034667969,35.454511642456055,5.0,14.0,4.678,6.761,10.925,32.447
19,2025-12-12 10:31:04,1.1.1.1,GigabitEthernet0/0,2.267,5.305,3.0375,3.0375,133,130,3,2.2556390977443606,6.851623608515813,3.8628578186035156,13.768196105957031,3.0,16.0,1.583,6.534,9.458,11.04
20,2025-12-12 10:31:28,1.1.1.1,GigabitEthernet0/0,2.237,6.286,4.0495,4.0495,127,123,4,3.149606299212598,7.459082254549352,4.533052444458008,21.04806900024414,2.0,10.0,1.958,7.076,9.817,10.708
21,2025-12-12 10:31:53,1.1.1.1,GigabitEthernet0/0,2.221,5.258,3.037,3.037,126,123,3,2.380952380952381,7.498551190384036,4.242658615112305,21.228551864624023,1.0,15.0,2.083,7.339,9.926,13.115
22,2025-12-12 10:32:16,1.1.1.1,GigabitEthernet0/0,2.262,5.299,3.0363,3.0363,133,130,3,2.2556390977443606,6.747572238628681,3.9615631103515625,10.978460311889648,1.0,12.0,1.312,6.533,8.916,10.351
23,2025-12-12 10:32:40,1.1.1.1,GigabitEthernet0/0,2.259,5.297,3.0372,3.0372,122,119,3,2.459016393442623,8.157279311107988,4.264593124389648,24.97553825378418,1.0,17.0,3.159,7.49,13.712,18.535
24,2025-12-12 10:33:04,1.1.1.1,GigabitEthernet0/0,2.271,5.309,3.038,3.038,125,122,3,2.4,7.847166452251497,3.736257553100586,32.235145568847656,2.0,13.0,3.797,6.761,13.03,20.88
25,2025-12-12 10:33:27,1.1.1.1,GigabitEthernet0/0,2.274,6.323,4.0488,4.0488,130,126,4,3.076923076923077,7.418933368864513,4.409551620483398,25.907516479492188,1.0,10.0,2.655,6.692,10.237,15.968
26,2025-12-12 10:33:52,1.1.1.1,GigabitEthernet0/0,2.268,5.303,3.0357,3.0357,123,120,3,2.4390243902439024,8.025268713633219,4.806756973266602,25.002002716064453,1.0,11.0,2.998,7.195,13.816,15.931
27,2025-12-12 10:34:16,1.1.1.1,GigabitEthernet0/0,2.268,5.304,3.0363,3.0363,125,122,3,2.4,7.874811281923388,4.097938537597656,24.517059326171875,2.0,13.0,4.143,6.818,20.921,22.85
28,2025-12-12 10:34:40,1.1.1.1,GigabitEthernet0/0,2.223,6.271,4.0484,4.0484,120,116,4,3.3333333333333335,8.33989011830297,4.109621047973633,21.100759506225586,2.0,15.0,3.459,7.245,15.987,19.396
29,2025-12-12 10:35:04,1.1.1.1,GigabitEthernet0/0,2.296,6.346,4.0496,4.0496,133,129,4,3.007518796992481,7.156922835712285,4.131317138671875,19.80137825012207,6.0,10.0,1.924,6.825,9.448,11.168
30,2025-12-12 10:35:29,1.1.1.1,GigabitEthernet0/0,2.229,5.266,3.0363,3.0363,132,129,3,2.272727272727273,6.707276484762976,3.5400390625,12.569189071655273,1.0,12.0,1.536,6.692,9.691,11.365
31,2025-12-12 10:35:53,1.1.1.1,GigabitEthernet0/0,2.257,5.293,3.0365,3.0365,127,124,3,2.3622047244094486,7.487114398710189,4.470586776733398,16.42441749572754,2.0,13.0,2.031,7.093,11.441,13.952
32,2025-12-12 10:36:16,1.1.1.1,GigabitEthernet0/0,2.26,6.309,4.0482,4.0482,131,127,4,3.0534351145038165,7.195559073620894,4.037380218505859,14.45770263671875,2.0,15.0,1.539,7.084,9.54,11.569
33,2025-12-12 10:36:41,1.1.1.1,GigabitEthernet0/0,2.221,5.258,3.0372,3.0372,129,126,3,2.3255813953488373,6.935244514828637,4.629611968994141,23.163795471191406,5.0,10.0,2.687,6.253,10.262,18.773
34,2025-12-12 10:37:05,1.1.1.1,GigabitEthernet0/0,2.231,5.266,3.0359,3.0359,131,128,3,2.2900763358778624,6.801510229706764,3.876209259033203,10.953664779663086,2.0,12.0,1.263,6.545,9.21,10.211
35,2025-12-12 10:37:29,1.1.1.1,GigabitEthernet0/0,2.245,6.296,4.0515,4.0515,133,129,4,3.007518796992481,6.777171940766563,4.268646240234375,13.79847526550293,2.0,11.0,1.323,6.664,8.804,9.847
36,2025-12-12 10:37:53,1.1.1.1,GigabitEthernet0/0,2.218,4.243,2.0245,2.0245,125,123,2,1.6,7.348012148849363,0,15.52724838256836,1.0,13.0,2.107,7.052,10.732,13.477
37,2025-12-12 10:38:17,1.1.1.1,GigabitEthernet0/0,2.293,5.329,3.0366,3.0366,132,129,3,2.272727272727273,7.077119147130685,4.337072372436523,13.422966003417969,2.0,10.0,1.601,6.728,9.54,12.097
38,2025-12-12 10:38:40,1.1.1.1,GigabitEthernet0/0,2.282,5.321,3.0381,3.0381,126,123,3,2.380952380952381,7.6479427213591284,4.594564437866211,26.129722595214844,3.0,12.0,3.286,6.702,12.772,21.664
39,2025-12-12 10:39:04,1.1.1.1,GigabitEthernet0/0,2.24,5.277,3.037,3.037,130,127,3,2.307692307692308,7.025065384511873,3.924131393432617,10.980606079101562,1.0,13.0,1.263,6.857,9.161,10.141
40,2025-12-12 10:39:28,1.1.1.1,GigabitEthernet0/0,2.315,6.363,4.0481,4.0481,130,126,4,3.076923076923077,7.4694932453216065,4.512786865234375,23.257732391357422,2.0,8.0,2.638,6.966,11.792,15.482
41,2025-12-12 10:39:52,1.1.1.1,GigabitEthernet0/0,2.298,6.345,4.0468,4.0468,123,119,4,3.2520325203252036,8.331679496444574,4.233360290527344,31.965255737304688,1.0,8.0,4.63,7.061,20.509,26.851
42,2025-12-12 10:40:17,1.1.1.1,GigabitEthernet0/0,2.37,6.424,4.0534,4.0534,128,124,4,3.125,8.338347558052309,3.504037857055664,29.29234504699707,3.0,12.0,4.28,7.251,19.846,24.218
43,2025-12-12 10:40:42,1.1.1.1,GigabitEthernet0/0,2.264,5.301,3.0369,3.0369,125,122,3,2.4,7.742096166141698,4.211187362670898,14.515161514282227,2.0,14.0,1.834,7.361,10.731,12.675
