Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
1,2025-12-12 14:02:25,1.1.1.1,GigabitEthernet0/0,2.252,5.29,3.0372,3.0372,122,119,3,2.459016393442623,8.096670904079405,3.867626190185547,27.334928512573242,3.0,13.0,3.696,7.2,13.278,24.083
2,2025-12-12 14:02:49,1.1.1.1,GigabitEthernet0/0,2.294,6.342,4.0478,4.0478,129,125,4,3.10077519379845,7.656476974487305,4.5185089111328125,25.27785301208496,2.0,11.0,2.592,7.017,12.432,14.026
3,2025-12-12 14:03:13,1.1.1.1,GigabitEthernet0/0,2.268,6.315,4.0476,4.0476,125,121,4,3.2,7.942719893022017,3.809213638305664,28.52606773376465,1.0,15.0,2.725,7.535,12.703,14.204
4,2025-12-12 14:03:38,1.1.1.1,GigabitEthernet0/0,2.376,6.424,4.0483,4.0483,131,127,4,3.0534351145038165,7.84662764842116,3.9093494415283203,17.252683639526367,2.0,10.0,2.312,7.282,13.016,15.043
5,2025-12-12 14:04:03,1.1.1.1,GigabitEthernet0/0,2.281,6.329,4.0487,4.0487,132,128,4,3.0303030303030303,7.095016539096832,4.922389984130859,11.836767196655273,1.0,11.0,1.29,6.884,9.542,10.407
6,2025-12-12 14:04:27,1.1.1.1,GigabitEthernet0/0,2.246,5.282,3.036,3.036,128,125,3,2.34375,7.335470199584961,5.2089691162109375,20.23148536682129,3.0,12.0,1.602,7.228,9.198,10.055
7,2025-12-12 14:04:51,1.1.1.1,GigabitEthernet0/0,2.319,5.355,3.0361,3.0361,128,125,3,2.34375,7.777776718139648,4.517078399658203,12.563705444335938,2.0,14.0,1.377,7.646,9.755,11.609
8,2025-12-12 14:05:15,1.1.1.1,GigabitEthernet0/0,2.241,6.288,4.0471,4.0471,130,126,4,3.076923076923077,7.1456772940499445,4.726886749267578,12.200593948364258,5.0,11.0,1.275,7.062,9.317,10.221
9,2025-12-12 14:05:39,1.1.1.1,GigabitEthernet0/0,2.32,6.369,4.049,4.049,132,128,4,3.0303030303030303,7.352039217948914,4.384279251098633,19.06108856201172,2.0,10.0,1.795,7.167,9.766,11.584
10,2025-12-12 14:06:04,1.1.1.1,GigabitEthernet0/0,2.232,6.28,4.0479,4.0479,127,123,4,3.149606299212598,7.5058026042411,5.076408386230469,15.582799911499023,2.0,6.0,1.625,7.292,10.234,11.802
11,2025-12-12 14:06:29,1.1.1.1,GigabitEthernet0/0,2.261,5.305,3.0435,3.0435,120,117,3,2.5,8.432547251383463,5.228757858276367,31.610488891601562,1.0,14.0,4.568,7.103,18.703,23.488
12,2025-12-12 14:06:52,1.1.1.1,GigabitEthernet0/0,2.265,6.314,4.0495,4.0495,117,113,4,3.418803418803419,9.163881825134817,4.719018936157227,32.42015838623047,2.0,10.0,5.156,7.612,20.327,28.223
13,2025-12-12 14:07:17,1.1.1.1,GigabitEthernet0/0,2.282,6.33,4.0482,4.0482,129,125,4,3.10077519379845,7.593854904174805,4.352569580078125,21.743297576904297,1.0,15.0,2.478,7.095,11.785,15.336
14,2025-12-12 14:07:42,1.1.1.1,GigabitEthernet0/0,2.309,5.345,3.0367,3.0367,133,130,3,2.2556390977443606,7.095402937669021,4.553556442260742,13.498067855834961,4.0,14.0,1.355,6.941,9.197,11.223
15,2025-12-12 14:08:06,1.1.1.1,GigabitEthernet0/0,2.218,6.267,4.049,4.049,122,118,4,3.278688524590164,8.040470592046189,5.095720291137695,19.985437393188477,2.0,9.0,3.057,6.962,16.145,17.435
